Unit,Subunit,area,DN,class_area,class_perc
Sandfarm,Sandfarm,808964.374267578125000,"7",101875.101,12.593
Sandfarm,Sandfarm,808964.374267578125000,"4",112094.284,13.857
Sandfarm,Sandfarm,808964.374267578125000,"1",406271.496,50.221
Sandfarm,Sandfarm,808964.374267578125000,"2",6299.267,0.779
Gobbler,Gobbler Ridge,884704.940307617187500,"3",154155.485,17.425
Gobbler,Gobbler Ridge,884704.940307617187500,"7",136814.995,15.464
Gobbler,Gobbler Ridge,884704.940307617187500,"4",23162.747,2.618
Gobbler,Gobbler Ridge,884704.940307617187500,"1",484200.958,54.730
Gobbler,Gobbler Ridge,884704.940307617187500,"2",86260.021,9.750
Gobbler,Gobbler Bottoms,383560.240600585937500,"3",20786.236,5.419
Gobbler,Gobbler Bottoms,383560.240600585937500,"7",9159.935,2.388
Gobbler,Gobbler Bottoms,383560.240600585937500,"4",7494.723,1.954
Gobbler,Gobbler Bottoms,383560.240600585937500,"1",326380.490,85.092
Gobbler,Gobbler Bottoms,383560.240600585937500,"2",19692.389,5.134
Bishop,Bishop South,549106.516357421875000,"3",228090.498,41.538
Bishop,Bishop South,549106.516357421875000,"7",57113.285,10.401
Bishop,Bishop South,549106.516357421875000,"4",4499.444,0.819
Bishop,Bishop South,549106.516357421875000,"1",237779.287,43.303
Bishop,Bishop South,549106.516357421875000,"2",21557.094,3.926
Clear Creek,Clear Creek Knolls,1731064.213500976795331,"3",771353.285,44.559
Clear Creek,Clear Creek Knolls,1731064.213500976795331,"7",210226.506,12.144
Clear Creek,Clear Creek Knolls,1731064.213500976795331,"4",47030.777,2.717
Clear Creek,Clear Creek Knolls,1731064.213500976795331,"1",653042.802,37.725
Clear Creek,Clear Creek Knolls,1731064.213500976795331,"2",49209.806,2.843
