Unit,Subunit,Group,area_ha,mrb_dist,area,perimeter,fid,DN,Class_area,Class_percentage
Big_jump_east,Orland East,North,74.306,"1000",6842017.201782226562500,13951.524462214849336,7727,"0",899.886,0.013
Big_jump_east,Orland East,North,74.306,"1000",6842017.201782226562500,13951.524462214849336,6650,"1",1290759.349,18.865
Big_jump_east,Orland East,North,74.306,"1000",6842017.201782226562500,13951.524462214849336,6776,"2",2142681.892,31.317
Big_jump_east,Orland East,North,74.306,"1000",6842017.201782226562500,13951.524462214849336,6707,"7",1393282.303,20.364
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12107,"1",2701120.108,59.969
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12500,"3",203006.971,4.507
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12192,"2",1142926.693,25.375
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12642,"5",40494.503,0.899
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12133,"4",80185.733,1.780
Oak Island,Oak Island,South,11.549,"1000",4504181.821655273437500,9036.392787365128243,12221,"7",335817.966,7.456
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,9874,"4",54759.386,1.229
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,8245,"3",839761.866,18.852
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,9761,"6",899.874,0.020
Themla Carpenter,Thelma Carpenter,East,26.077,"1000",5246303.555786132812500,10495.707447644184867,11343,"7",683937.302,13.037
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,9884,"5",49688.920,1.115
Themla Carpenter,Thelma Carpenter,East,26.077,"1000",5246303.555786132812500,10495.707447644184867,11342,"2",81136.685,1.547
Themla Carpenter,Thelma Carpenter,East,26.077,"1000",5246303.555786132812500,10495.707447644184867,11320,"1",1053776.651,20.086
Themla Carpenter,Thelma Carpenter,East,26.077,"1000",5246303.555786132812500,10495.707447644184867,11266,"4",746035.588,14.220
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,8715,"2",637466.512,14.311
Themla Carpenter,Thelma Carpenter,East,26.077,"1000",5246303.555786132812500,10495.707447644184867,11434,"3",2680814.639,51.099
Sanders,Sanders,East,15.127,"1000",4689662.775146484375000,9419.030597276652770,10093,"7",490491.074,10.459
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,8278,"1",2105443.043,47.266
Gobbler,Gobbler Bottoms,East,3.002,"1000",3888852.458374023437500,7780.870739257806235,8381,"1",1925978.716,49.526
Gobbler,Gobbler Bottoms,East,3.002,"1000",3888852.458374023437500,7780.870739257806235,9071,"2",181250.600,4.661
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,10447,"7",444218.256,8.285
Gobbler,Gobbler Bottoms,East,3.002,"1000",3888852.458374023437500,7780.870739257806235,8995,"3",1197138.851,30.784
Gobbler,Gobbler Bottoms,East,3.002,"1000",3888852.458374023437500,7780.870739257806235,9551,"4",168801.316,4.341
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,12573,"5",35995.248,0.671
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,10632,"4",212454.363,3.962
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,10557,"3",211415.495,3.943
Flagg Lowden,Flagg Lowden,North,7.493,"1000",4454448.514770507812500,8966.779864278847526,8252,"7",765851.658,17.193
Gobbler,Gobbler Bottoms,East,3.002,"1000",3888852.458374023437500,7780.870739257806235,8416,"7",415212.614,10.677
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,11452,"7",344298.662,8.407
Sanders,Sanders,East,15.127,"1000",4689662.775146484375000,9419.030597276652770,10425,"3",1269268.081,27.065
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,12573,"5",35995.248,0.879
Sanders,Sanders,East,15.127,"1000",4689662.775146484375000,9419.030597276652770,10129,"4",923339.391,19.689
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,11292,"3",27727.968,0.677
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,11639,"4",133459.729,3.259
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,11514,"1",2561185.166,62.537
Leopold Knob,Leopold Knob,South,4.976,"1000",4095490.151489257812500,8323.679973701233394,11263,"2",992257.445,24.228
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,9296,"5",54390.786,0.863
Sanders,Sanders,East,15.127,"1000",4689662.775146484375000,9419.030597276652770,11153,"1",1958877.585,41.770
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,9793,"6",899.847,0.014
Sanders,Sanders,East,15.127,"1000",4689662.775146484375000,9419.030597276652770,10094,"2",47126.692,1.005
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,8231,"7",1702194.845,26.993
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,8245,"3",1615363.943,27.741
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,8230,"1",1639067.787,25.992
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,8715,"2",641530.081,11.017
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,8210,"2",1597156.497,25.328
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,8214,"1",2609666.788,44.816
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,8342,"3",1309452.724,20.765
Williams,Williams,North,62.285,"1000",6305964.419799804687500,12823.990504199973657,8977,"4",1799.717,0.029
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,8252,"7",809675.679,13.905
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,9884,"5",3529.698,0.061
Gobbler,Gobbler Ridge,East,43.502,"1000",5823016.720581054687500,11778.800519539292509,9874,"4",142522.932,2.448
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,9342,"1",1874206.891,39.510
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,9801,"4",23396.318,0.493
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,10015,"5",8098.711,0.171
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,10418,"7",507177.420,10.650
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,9418,"2",1375123.944,28.989
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,9584,"3",550276.793,11.600
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,11317,"5",24296.385,0.510
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,11847,"4",6299.099,0.132
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9389,"1",2918848.455,59.210
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,10493,"3",509970.196,10.709
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,10585,"2",2041476.521,42.869
Senger,Senger,North,16.077,"1000",4743629.876831054687500,9490.360811866517906,9340,"7",911800.717,19.222
Tellabs,Tellabs East,North,16.371,"1000",4762109.035400390625000,9527.781618843773686,10417,"1",1672176.610,35.114
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9884,"5",43464.436,0.882
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,7575,"7",1340454.047,14.709
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,10028,"4",200059.554,4.058
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9277,"3",562677.543,11.414
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,10030,"5",4499.554,0.049
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9450,"2",361187.332,7.327
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,9874,"4",300994.777,3.303
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9390,"7",841888.480,17.078
