site,area,cover_class,class_area,class_percentage
praire_potholes,750807.3612,7,17396.271,2.317
praire_potholes,750807.3612,4,18462.234,2.459
praire_potholes,750807.3612,1,695540.54,92.639
praire_potholes,750807.3612,2,10488.566,1.397
rolling_thunder,737570.2874,5,27285.42,3.699
rolling_thunder,737570.2874,3,6299.16,0.854
rolling_thunder,737570.2874,7,88057.068,11.939
rolling_thunder,737570.2874,4,139155.974,18.867
rolling_thunder,737570.2874,1,438015.517,59.386
rolling_thunder,737570.2874,2,38657.307,5.241
sanders,585906.9551,3,138744.756,23.68
sanders,585906.9551,7,73248.45,12.502
sanders,585906.9551,4,137075.787,23.395
sanders,585906.9551,1,230468.984,39.335
sanders,585906.9551,2,6299.267,1.075
sandfarm,808964.3743,3,182327.844,22.538
sandfarm,808964.3743,7,101875.101,12.593
sandfarm,808964.3743,4,112094.284,13.857
sandfarm,808964.3743,1,406271.496,50.221
sandfarm,808964.3743,2,6299.267,0.779
schafer_knob,653699.1868,5,17978.593,2.75
schafer_knob,653699.1868,3,71873.163,10.995
schafer_knob,653699.1868,7,144574.161,22.116
schafer_knob,653699.1868,4,2378.741,0.364
schafer_knob,653699.1868,1,369294.164,56.493
schafer_knob,653699.1868,2,47514.344,7.269
SE_knob,394561.0571,5,6442.724,1.633
SE_knob,394561.0571,3,31277.275,7.927
SE_knob,394561.0571,7,133200.964,33.759
SE_knob,394561.0571,1,179325.244,45.449
SE_knob,394561.0571,2,44262.637,11.218
sengers,597246.4982,3,78321.164,13.114
sengers,597246.4982,7,123262.838,20.639
sengers,597246.4982,1,175853.172,29.444
sengers,597246.4982,2,219718.578,36.789
seven_knobs,656894.5748,5,20295.426,3.09
seven_knobs,656894.5748,3,1799.754,0.274
seven_knobs,656894.5748,7,70256.877,10.695
seven_knobs,656894.5748,4,20532.374,3.126
seven_knobs,656894.5748,1,537123.455,81.767
seven_knobs,656894.5748,2,6795.052,1.034
stone_barn_prairie,1170082.233,3,795706.235,68.004
stone_barn_prairie,1170082.233,7,279639.818,23.899
stone_barn_prairie,1170082.233,1,79740.597,6.815
stone_barn_prairie,1170082.233,2,14873.592,1.271
tellabs_center,765402.6262,3,15526.447,2.029
tellabs_center,765402.6262,7,22230.658,2.904
tellabs_center,765402.6262,1,160224.782,20.933
tellabs_center,765402.6262,2,567301.777,74.118
tellabs_west,682984.5695,3,145251.197,21.267
tellabs_west,682984.5695,7,65339.89,9.567
tellabs_west,682984.5695,1,118347.686,17.328
tellabs_west,682984.5695,2,353937.652,51.822
thelma_carpenter,722914.827,3,409086.863,56.589
thelma_carpenter,722914.827,7,100981.058,13.969
thelma_carpenter,722914.827,4,37072.415,5.128
thelma_carpenter,722914.827,1,173391.184,23.985
thelma_carpenter,722914.827,2,2300.296,0.318
trap_release_prairie,657618.9413,3,4164.243,0.633
trap_release_prairie,657618.9413,7,34094.65,5.185
trap_release_prairie,657618.9413,4,899.882,0.137
trap_release_prairie,657618.9413,1,590227.989,89.752
trap_release_prairie,657618.9413,2,28144.226,4.28
visitor_area,525268.0778,5,24443.572,4.654
visitor_area,525268.0778,7,62289.57,11.859
visitor_area,525268.0778,4,34516.814,6.571
visitor_area,525268.0778,1,388582.28,73.978
visitor_area,525268.0778,2,15367.537,2.926
west_hienkel,738837.2478,3,36346.999,4.919
west_hienkel,738837.2478,7,28157.85,3.811
west_hienkel,738837.2478,4,29616.805,4.009
west_hienkel,738837.2478,1,471827.914,63.861
west_hienkel,738837.2478,2,172782.652,23.386
williams,998342.4326,3,159735.63,16
williams,998342.4326,7,320847.18,32.138
williams,998342.4326,4,899.862,0.09
williams,998342.4326,1,306935.8,30.745
williams,998342.4326,2,209764.993,21.011
