site,area_ha,area_m,cover_class,cover_class_area,class_percentage
leopold_knob,4.976,4095490.151,7,344298.662,8.407
leopold_knob,4.976,4095490.151,5,35995.248,0.879
leopold_knob,4.976,4095490.151,3,27727.968,0.677
leopold_knob,4.976,4095490.151,4,133459.729,3.259
leopold_knob,4.976,4095490.151,1,2561185.166,62.537
leopold_knob,4.976,4095490.151,2,992257.445,24.228
main_unit_knobs,30.83,5940594.484,5,62991.559,1.06
main_unit_knobs,30.83,5940594.484,3,847246.331,14.262
main_unit_knobs,30.83,5940594.484,4,236203.43,3.976
main_unit_knobs,30.83,5940594.484,1,3104966.238,52.267
main_unit_knobs,30.83,5940594.484,2,945478.368,15.916
main_unit_knobs,30.83,5940594.484,7,742910.957,12.506
naylor_road,13.595,4675707.781,2,1115398.048,23.855
naylor_road,13.595,4675707.781,3,466241.974,9.972
naylor_road,13.595,4675707.781,1,1989603.172,42.552
naylor_road,13.595,4675707.781,7,837283.49,17.907
naylor_road,13.595,4675707.781,4,239513.7,5.123
naylor_road,13.595,4675707.781,5,26996.311,0.577
no_name_knob,6.791,4174546.43,5,55317.52,1.325
no_name_knob,6.791,4174546.43,7,503347.642,12.058
no_name_knob,6.791,4174546.43,2,194047.886,4.648
no_name_knob,6.791,4174546.43,1,2405660.897,57.627
no_name_knob,6.791,4174546.43,4,341298.788,8.176
no_name_knob,6.791,4174546.43,3,674331.987,16.153
oak_island,11.549,4504181.822,1,2701120.108,59.969
oak_island,11.549,4504181.822,3,203006.971,4.507
oak_island,11.549,4504181.822,2,1142926.693,25.375
oak_island,11.549,4504181.822,5,40494.503,0.899
oak_island,11.549,4504181.822,4,80185.733,1.78
oak_island,11.549,4504181.822,7,335817.966,7.456
big_jump_center,24.973,5224155.74,7,753701.258,14.427
big_jump_center,24.973,5224155.74,5,259455.637,4.966
big_jump_center,24.973,5224155.74,6,2525.801,0.048
big_jump_center,24.973,5224155.74,3,602122.655,11.526
big_jump_center,24.973,5224155.74,4,21706.339,0.415
big_jump_center,24.973,5224155.74,1,1301315.801,24.91
big_jump_center,24.973,5224155.74,2,2282559.481,43.692
big_jump_east,74.306,6842017.202,3,1688448.731,24.678
big_jump_east,74.306,6842017.202,4,32788.743,0.479
big_jump_east,74.306,6842017.202,5,288603.316,4.218
big_jump_east,74.306,6842017.202,6,3599.489,0.053
big_jump_east,74.306,6842017.202,0,899.886,0.013
big_jump_east,74.306,6842017.202,1,1290759.349,18.865
big_jump_east,74.306,6842017.202,2,2142681.892,31.317
big_jump_east,74.306,6842017.202,7,1393282.303,20.364
praire_potholes,26.588,5317480.45,2,1208003.689,22.718
praire_potholes,26.588,5317480.45,3,245106.633,4.609
praire_potholes,26.588,5317480.45,1,3115815.413,58.596
praire_potholes,26.588,5317480.45,7,403745.777,7.593
praire_potholes,26.588,5317480.45,4,291460.037,5.481
praire_potholes,26.588,5317480.45,5,52623.767,0.99
rolling_thunder,21.199,5263230.407,7,453548.678,8.617
rolling_thunder,21.199,5263230.407,5,35833.553,0.681
rolling_thunder,21.199,5263230.407,4,859039.198,16.322
rolling_thunder,21.199,5263230.407,3,326655.814,6.206
rolling_thunder,21.199,5263230.407,2,544909.481,10.353
rolling_thunder,21.199,5263230.407,1,3042542.925,57.808
sanders,15.127,4689662.775,7,490491.074,10.459
sanders,15.127,4689662.775,3,1269268.081,27.065
sanders,15.127,4689662.775,4,923339.391,19.689
sanders,15.127,4689662.775,1,1958877.585,41.77
sanders,15.127,4689662.775,2,47126.692,1.005
sandfarm,20.077,5480223.381,1,2485264.245,45.35
sandfarm,20.077,5480223.381,4,838272.866,15.296
sandfarm,20.077,5480223.381,2,91092.122,1.662
sandfarm,20.077,5480223.381,3,1445479.86,26.376
sandfarm,20.077,5480223.381,7,619464.013,11.304
schafer_knob,13.544,4903119.697,5,33928.678,0.692
schafer_knob,13.544,4903119.697,7,821273.6,16.75
schafer_knob,13.544,4903119.697,2,635620.455,12.964
schafer_knob,13.544,4903119.697,1,2337073.765,47.665
schafer_knob,13.544,4903119.697,4,132211.418,2.696
schafer_knob,13.544,4903119.697,3,942367.386,19.22
SE_knob,3.46,3932887.933,7,718821.758,18.277
SE_knob,3.46,3932887.933,5,26996.311,0.686
SE_knob,3.46,3932887.933,4,68450.041,1.74
SE_knob,3.46,3932887.933,3,764188.204,19.431
SE_knob,3.46,3932887.933,2,704816.064,17.921
SE_knob,3.46,3932887.933,1,1649096.737,41.931
sengers,16.077,4743629.877,1,1874206.891,39.51
sengers,16.077,4743629.877,4,23396.318,0.493
sengers,16.077,4743629.877,5,8098.711,0.171
sengers,16.077,4743629.877,2,1375123.944,28.989
sengers,16.077,4743629.877,3,550276.793,11.6
sengers,16.077,4743629.877,7,911800.717,19.222
seven_knobs,8.832,4978256.29,7,348932.31,7.009
seven_knobs,8.832,4978256.29,5,35727.382,0.718
seven_knobs,8.832,4978256.29,3,168119.083,3.377
seven_knobs,8.832,4978256.29,4,476422.049,9.57
seven_knobs,8.832,4978256.29,1,2972136.581,59.702
seven_knobs,8.832,4978256.29,2,976241.984,19.61
stone_barn_prairie,77.871,6908069.734,2,51294.313,0.743
stone_barn_prairie,77.871,6908069.734,3,4864188.612,70.413
stone_barn_prairie,77.871,6908069.734,1,807646.31,11.691
stone_barn_prairie,77.871,6908069.734,7,1012357.81,14.655
stone_barn_prairie,77.871,6908069.734,4,171153.252,2.478
stone_barn_prairie,77.871,6908069.734,5,721.115,0.01
tellabs_center,31.942,5416254.669,5,24296.385,0.449
tellabs_center,31.942,5416254.669,4,19670.749,0.363
tellabs_center,31.942,5416254.669,3,1144496.142,21.131
tellabs_center,31.942,5416254.669,2,1869349.077,34.514
tellabs_center,31.942,5416254.669,1,1532050.424,28.286
tellabs_center,31.942,5416254.669,7,825557.611,15.242
tellabs_center,16.371,4762109.035,7,507177.42,10.65
tellabs_west,22.35,5086558.763,5,24296.368,0.478
tellabs_west,22.35,5086558.763,4,14799.295,0.291
tellabs_west,22.35,5086558.763,7,888633.608,17.47
tellabs_west,22.35,5086558.763,1,1069348.296,21.023
tellabs_west,22.35,5086558.763,3,1469173.692,28.883
tellabs_west,22.35,5086558.763,2,1619502.007,31.839
thelma_carpenter,26.077,5246303.556,7,683937.302,13.037
thelma_carpenter,26.077,5246303.556,2,81136.685,1.547
thelma_carpenter,26.077,5246303.556,1,1053776.651,20.086
thelma_carpenter,26.077,5246303.556,4,746035.588,14.22
thelma_carpenter,26.077,5246303.556,3,2680814.639,51.099
trap_release_prairie,19.123,4929685.078,1,2918848.455,59.21
trap_release_prairie,19.123,4929685.078,5,43464.436,0.882
trap_release_prairie,19.123,4929685.078,4,200059.554,4.058
trap_release_prairie,19.123,4929685.078,3,562677.543,11.414
trap_release_prairie,19.123,4929685.078,2,361187.332,7.327
trap_release_prairie,19.123,4929685.078,7,841888.48,17.078
trap_release_prairie,19.123,4929685.078,6,899.874,0.018
visitor_area,11.235,4455684.49,1,2691143.705,60.398
visitor_area,11.235,4455684.49,4,607548.385,13.635
visitor_area,11.235,4455684.49,5,35995.248,0.808
visitor_area,11.235,4455684.49,2,139110.551,3.122
visitor_area,11.235,4455684.49,3,531871.873,11.937
visitor_area,11.235,4455684.49,7,449435.626,10.087
west_hienkel,29.979,5281604.553,4,134301.19,2.543
west_hienkel,29.979,5281604.553,3,615321.87,11.65
west_hienkel,29.979,5281604.553,5,29695.935,0.562
west_hienkel,29.979,5281604.553,2,928575.209,17.581
west_hienkel,29.979,5281604.553,1,2815789.08,53.313
west_hienkel,29.979,5281604.553,7,757171.112,14.336
williams,62.285,6305964.42,5,54390.786,0.863
williams,62.285,6305964.42,6,899.847,0.014
williams,62.285,6305964.42,7,1702194.845,26.993
williams,62.285,6305964.42,1,1639067.787,25.992
williams,62.285,6305964.42,2,1597156.497,25.328
williams,62.285,6305964.42,3,1309452.724,20.765
williams,62.285,6305964.42,4,1799.717,0.029
