Unit,Subunit,area_ha,area,perimeter,fid,DN,cover_clas,class_perc
Holland,Holland Prairie,130.804,4194032.568481444846839,16967.538645435124636,6,"2",729693.905,17.398
Hook Larson,Hook Larson,58.775,2621475.256103515625000,10493.950199787781457,23,"3",112418.245,4.288
Hook Larson,Hook Larson,58.775,2621475.256103515625000,10493.950199787781457,1,"7",262398.151,10.010
Hook Larson,Hook Larson,58.775,2621475.256103515625000,10493.950199787781457,281,"4",12764.096,0.487
Hook Larson,Hook Larson,58.775,2621475.256103515625000,10493.950199787781457,3,"1",1647997.108,62.865
Hook Larson,Hook Larson,58.775,2621475.256103515625000,10493.950199787781457,6,"2",585549.053,22.337
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,52,"5",2173.694,0.129
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,23,"3",124605.720,7.369
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,1,"7",210413.108,12.444
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,281,"4",9623.354,0.569
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,3,"1",1215761.844,71.902
Holland,Trap and Release Pasture,19.123,1690848.109863281250000,6859.994007815351324,6,"2",128044.648,7.573
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,52,"5",4241.395,0.221
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,23,"3",23204.170,1.208
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,1,"7",167674.386,8.728
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,281,"4",26996.332,1.405
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,3,"1",1429130.666,74.394
Doug Dot,Doug Dot,20.801,1921040.078002929687500,7855.940996096740491,6,"2",269527.979,14.030
Doug Dot,Dot's Knob,3.880,1203120.565673828125000,4818.896581855481600,23,"3",20876.428,1.735
Doug Dot,Dot's Knob,3.880,1203120.565673828125000,4818.896581855481600,1,"7",137684.955,11.444
Doug Dot,Dot's Knob,3.880,1203120.565673828125000,4818.896581855481600,281,"4",25075.508,2.084
Doug Dot,Dot's Knob,3.880,1203120.565673828125000,4818.896581855481600,3,"1",901487.232,74.929
Doug Dot,Dot's Knob,3.880,1203120.565673828125000,4818.896581855481600,6,"2",117832.136,9.794
Doug Dot,Doug's Knob,2.500,1090027.866821289062500,4365.351617095309848,23,"3",18443.784,1.692
Doug Dot,Doug's Knob,2.500,1090027.866821289062500,4365.351617095309848,1,"7",77104.394,7.074
Doug Dot,Doug's Knob,2.500,1090027.866821289062500,4365.351617095309848,281,"4",26065.882,2.391
Doug Dot,Doug's Knob,2.500,1090027.866821289062500,4365.351617095309848,3,"1",776939.519,71.277
Doug Dot,Doug's Knob,2.500,1090027.866821289062500,4365.351617095309848,6,"2",191323.659,17.552
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,52,"5",13019.001,1.027
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,23,"3",5595.221,0.441
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,1,"7",79151.978,6.243
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,281,"4",25448.658,2.007
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,3,"1",890321.896,70.221
Leopold Knob,Leopold Knob,4.976,1267882.036743164062500,5183.984508802911478,6,"2",254170.018,20.047
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,52,"5",33133.930,1.787
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,23,"3",16959.538,0.914
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,1,"7",203597.098,10.978
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,281,"4",386802.611,20.857
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,3,"1",1114021.090,60.068
Rolling Thunder Prairie,Rolling Thunder Prairie,21.199,1854586.631591796875000,7516.669600347648156,6,"2",99824.854,5.383
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,52,"5",33295.625,2.307
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,23,"3",32131.374,2.227
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,1,"7",116093.843,8.045
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,281,"4",140136.246,9.712
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,3,"1",1061570.347,73.568
Visitor Use Area,Visitor Use Area,11.235,1442971.518920898437500,5773.468302648956524,6,"2",59556.317,4.127
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,52,"5",4275.543,0.328
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,23,"3",119718.608,9.189
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,1,"7",140185.956,10.760
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,281,"4",58635.826,4.500
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,3,"1",939415.140,72.103
No Name Knob,No Name Knob,6.791,1302885.507080078125000,5221.087451815104941,6,"2",40485.123,3.107
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,52,"5",33295.625,2.379
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,23,"3",14112.052,1.008
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,1,"7",131664.214,9.407
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,281,"4",63751.911,4.555
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,3,"1",1117692.121,79.853
Coneflower,Coneflower,6.861,1399695.097167968750000,5626.254206488565615,6,"2",38994.166,2.786
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,52,"5",17148.765,1.823
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,23,"3",3070.434,0.326
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,1,"7",84843.819,9.021
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,281,"4",36714.396,3.904
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,3,"1",777763.132,82.693
Coneflower,Trash Knob,0.657,940545.029785156133585,3763.701218044484449,6,"2",20879.860,2.220
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,52,"5",35727.382,2.095
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,23,"3",4499.371,0.264
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,1,"7",144150.087,8.453
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,281,"4",91080.152,5.341
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,3,"1",1310239.105,76.832
Seven Knobs,Seven Knobs,8.832,1705336.838134765625000,6824.081639499265293,6,"2",119408.021,7.002
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,52,"5",24970.797,1.326
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,23,"3",6299.139,0.335
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,1,"7",105438.003,5.599
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,281,"4",61258.629,3.253
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,3,"1",1466208.209,77.864
Prairie Potholes,Prairie Potholes,26.588,1883045.351684570312500,7560.867441957494520,6,"2",218615.070,11.610
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,52,"5",2699.623,0.177
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,23,"3",53970.706,3.545
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,1,"7",83281.452,5.470
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,281,"4",17421.706,1.144
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,3,"1",782562.094,51.397
Knittentail Knob,Knittentail Knob,12.527,1522576.549682617187500,6125.211611790601637,6,"2",582423.572,38.252
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,52,"5",2699.623,0.184
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,23,"3",2699.617,0.184
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,1,"7",40474.273,2.751
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,281,"4",37794.755,2.569
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,3,"1",1048112.048,71.249
Oak Island,Oak Island,11.549,1471047.363403320312500,5898.434822534222803,6,"2",339061.531,23.049
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,52,"5",2699.623,0.244
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,23,"3",899.876,0.081
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,1,"7",33788.907,3.051
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,281,"4",39007.226,3.522
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,3,"1",964826.161,87.112
Coyote Point,Coyote Point,2.418,1107568.531494140625000,4431.934130972562343,6,"2",66193.705,5.976
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,52,"5",2699.623,0.244
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,23,"3",3599.521,0.325
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,1,"7",34930.170,3.153
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,281,"4",36894.889,3.330
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,3,"1",953693.447,86.080
Tim's Knob,Tim's Knob,2.670,1107918.956909179687500,4434.764949368808630,6,"2",75949.700,6.855
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,52,"5",19007.064,0.852
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,23,"3",150614.558,6.748
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,1,"7",212735.311,9.531
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,281,"4",65644.136,2.941
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,3,"1",1610992.706,72.173
Main Unit Knobs,Main Unit Knobs,30.830,2232120.405639648437500,9304.090731530881385,6,"2",172826.781,7.743
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,52,"5",25573.610,1.373
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,23,"3",101271.579,5.439
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,1,"7",160837.443,8.637
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,281,"4",38145.523,2.049
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,3,"1",1057682.919,56.800
Heinkel,West Heinkel,29.979,1862113.253662109375000,7485.590379717106771,6,"2",478337.738,25.688
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,52,"5",26996.311,1.075
